iter	RMSE
0	2.437077387
1	2.3831363
2	2.332539369
3	2.28524685
4	2.241057871
5	2.200008506
6	2.160818898
7	2.120843443
8	2.08408941
9	2.052362532
10	2.02413862
11	1.996060824
12	1.971356285
13	1.94337657
14	1.919449177
15	1.89600674
16	1.874735519
17	1.855091279
18	1.837233702
19	1.818552014
20	1.802069263
21	1.785917798
22	1.770517581
23	1.757306548
24	1.744309974
25	1.732360646
26	1.720593099
27	1.71075363
28	1.701483189
29	1.69177737
30	1.683109984
31	1.672827601
32	1.665255488
33	1.657733295
34	1.651639938
35	1.644608745
36	1.637871644
37	1.632109209
38	1.625175277
39	1.618697486
40	1.612909262
41	1.607706673
42	1.601778433
43	1.596210737
44	1.590740628
45	1.586819422
46	1.582814212
47	1.578973135
48	1.575247654
49	1.571585075
50	1.568775131
51	1.562545185
52	1.556900731
53	1.553827182
54	1.550623985
55	1.548084644
56	1.543894762
57	1.540986055
58	1.538403804
59	1.534932451
60	1.532215708
61	1.529131077
62	1.523370119
63	1.521442796
64	1.519084055
65	1.515640893
66	1.512548149
67	1.509867066
68	1.506682135
69	1.504851589
70	1.502113288
71	1.500435793
72	1.498881013
73	1.496446737
74	1.493664446
75	1.490296782
76	1.487575767
77	1.485093784
78	1.483287954
79	1.481420305
80	1.477994302
81	1.476181865
82	1.474223196
83	1.472841744
84	1.470036862
85	1.468494373
86	1.466211379
87	1.464913116
88	1.462847488
89	1.461028509
90	1.459344384
91	1.457770284
92	1.455383614
93	1.45376232
94	1.451540999
95	1.449723131
96	1.448283052
97	1.44594154
98	1.444239291
99	1.443159038
100	1.441513001
101	1.43963142
102	1.438005833
103	1.436240428
104	1.43467225
105	1.433170584
106	1.431903108
107	1.43008995
108	1.429331833
109	1.427721197
110	1.426180039
111	1.424757163
112	1.42376389
113	1.422359535
114	1.42084724
115	1.419201083
116	1.418158494
117	1.416879709
118	1.415183056
119	1.414372578
120	1.413066261
121	1.41164325
122	1.410512979
123	1.409545623
124	1.408293279
125	1.407195969
126	1.406795665
127	1.40505959
128	1.403866569
129	1.402615579
130	1.40102418
131	1.399696502
132	1.398714218
133	1.397569832
134	1.396286059
135	1.395478619
136	1.3945803
137	1.393796265
138	1.39260415
139	1.391954819
140	1.390766042
141	1.39004289
142	1.389171741
143	1.388156274
144	1.387075423
145	1.386594785
146	1.385570327
147	1.384541741
148	1.383679968
149	1.38232657
150	1.381756543
151	1.380884841
152	1.379722054
153	1.378969104
154	1.377874182
155	1.376577195
156	1.375740582
157	1.37467684
158	1.372860816
159	1.372229015
160	1.370668591
161	1.36950203
162	1.368262078
163	1.367619648
164	1.367156805
165	1.366569648
166	1.36578039
167	1.365265199
168	1.363972059
169	1.363398014
170	1.362802719
171	1.362195482
172	1.361117493
173	1.36070321
174	1.359749722
175	1.3585338
176	1.357628969
177	1.35676315
178	1.355658543
179	1.35484557
180	1.353288194
181	1.352180985
182	1.351769259
183	1.351236334
184	1.350207152
185	1.348764873
186	1.348167383
187	1.347373607
188	1.346519893
189	1.345862526
190	1.345008566
191	1.344243589
192	1.343440882
193	1.342945817
194	1.342014285
195	1.340937563
196	1.340119904
197	1.339482536
198	1.338677022
199	1.338267397
200	1.337518632
201	1.336146076
202	1.335613233
203	1.335044228
204	1.33436411
205	1.333566957
206	1.333077334
207	1.332344024
208	1.331729329
209	1.330576323
210	1.329995264
211	1.329314726
212	1.328775778
213	1.328069928
214	1.327650388
215	1.326521972
216	1.325777903
217	1.325639307
218	1.325169229
219	1.324244255
220	1.323815972
221	1.323314868
222	1.322082307
223	1.321495241
224	1.320908349
225	1.320236875
226	1.319607048
227	1.31923142
228	1.318449257
229	1.317531547
230	1.31687223
231	1.316277014
232	1.315790331
233	1.315336847
234	1.314799169
235	1.313693427
236	1.313193377
