iter	Passed	Remaining
0	106	320573
1	134	202125
2	159	158901
3	183	137435
4	209	125496
5	236	117836
6	262	112049
7	286	106994
8	310	103226
9	335	100340
10	358	97319
11	382	95351
12	407	93716
13	432	92327
14	456	90925
15	480	89608
16	504	88478
17	530	87841
18	552	86721
19	576	85851
20	600	85140
21	623	84455
22	648	83883
23	671	83255
24	694	82677
25	721	82508
26	744	82029
27	766	81351
28	787	80632
29	814	80589
30	837	80247
31	862	80028
32	889	80016
33	913	79701
34	942	79809
35	968	79746
36	993	79586
37	1017	79341
38	1042	79123
39	1066	78945
40	1093	78889
41	1119	78859
42	1143	78651
43	1168	78484
44	1193	78374
45	1218	78270
46	1242	78092
47	1276	78483
48	1301	78385
49	1326	78253
50	1354	78341
51	1378	78142
52	1401	77919
53	1426	77825
54	1453	77822
55	1478	77747
56	1500	77497
57	1527	77469
58	1553	77431
59	1579	77375
60	1608	77515
61	1635	77501
62	1657	77263
63	1683	77218
64	1707	77104
65	1735	77133
66	1761	77129
67	1784	76959
68	1811	76964
69	1834	76804
70	1857	76608
71	1880	76485
72	1904	76352
73	1934	76492
74	1963	76587
75	1989	76553
76	2018	76611
77	2040	76434
78	2067	76447
79	2089	76248
80	2116	76262
81	2141	76202
82	2166	76136
83	2190	76036
84	2220	76142
85	2241	75966
86	2268	75948
87	2294	75937
88	2320	75897
89	2343	75758
90	2368	75699
91	2390	75574
92	2412	75424
93	2436	75326
94	2459	75200
95	2485	75177
96	2507	75058
97	2532	75006
98	2560	75020
99	2590	75125
100	2613	75010
101	2637	74925
102	2657	74753
103	2682	74691
104	2706	74613
105	2725	74408
106	2749	74335
107	2773	74267
108	2797	74202
109	2826	74253
110	2849	74175
111	2874	74129
112	2898	74043
113	2918	73895
114	2945	73898
115	2969	73823
116	2991	73722
117	3016	73664
118	3041	73638
119	3068	73647
120	3093	73601
121	3117	73547
122	3139	73427
123	3162	73347
124	3186	73278
125	3207	73163
126	3232	73124
127	3257	73098
128	3284	73107
129	3307	73010
130	3331	72963
131	3355	72909
132	3380	72866
133	3403	72791
134	3431	72823
135	3458	72838
136	3481	72758
137	3504	72677
138	3527	72597
139	3549	72508
140	3571	72423
141	3597	72404
142	3622	72383
143	3647	72344
144	3673	72321
145	3699	72308
146	3726	72321
147	3751	72297
148	3780	72346
149	3806	72330
150	3830	72272
151	3855	72237
152	3880	72211
153	3905	72181
154	3929	72119
155	3949	71997
156	3971	71922
157	3998	71922
158	4021	71859
159	4045	71804
160	4068	71750
161	4099	71821
162	4126	71824
163	4151	71795
164	4176	71756
165	4200	71716
166	4224	71665
167	4247	71604
168	4272	71565
169	4293	71472
170	4317	71421
171	4342	71394
172	4366	71355
173	4389	71294
174	4418	71328
175	4444	71308
176	4470	71304
177	4497	71299
178	4522	71278
179	4548	71252
180	4572	71218
181	4597	71188
182	4624	71189
183	4651	71195
184	4678	71192
185	4706	71202
186	4737	71258
187	4765	71279
188	4790	71254
189	4815	71212
190	4840	71192
191	4867	71186
192	4891	71142
193	4915	71100
194	4938	71041
195	4964	71025
196	4991	71023
197	5017	71006
198	5044	71001
199	5072	71011
200	5094	70946
201	5120	70924
202	5147	70928
203	5171	70878
204	5197	70867
205	5223	70851
206	5248	70823
207	5275	70807
208	5300	70778
209	5324	70743
210	5348	70701
211	5371	70633
212	5396	70611
213	5422	70593
214	5444	70521
215	5467	70465
216	5490	70419
217	5512	70344
218	5533	70273
219	5556	70216
220	5581	70189
221	5603	70122
222	5628	70093
223	5654	70076
224	5680	70060
225	5707	70053
226	5730	70008
227	5759	70028
228	5787	70034
229	5815	70043
230	5842	70028
231	5865	69981
232	5892	69980
233	5920	69986
234	5952	70041
235	5981	70051
236	6008	70050
